Group,PMID,Title,Abstract,Authors,Keywords,Publication Year,Journal Title,Publication Type,
2D,31131388,Abnormal aortic flow profiles persist after aortic valve replacement in the majority of patients with aortic valve disease: how model-based personalized therapy planning could improve results. A pilot study approach.,"OBJECTIVES: Complex blood flow profiles in the aorta are known to contribute to vessel dilatation. We studied flow profiles in the aorta in patients with aortic valve disease before and after surgical aortic valve replacement (AVR). METHODS: Thirty-four patients with aortic valve disease underwent 4-dimensional velocity-encoded magnetic resonance imaging before and after AVR (biological valve = 27, mechanical valve = 7). Seven healthy volunteers served as controls. Eccentricity (ES) and complex flow scores (CFS) were determined from the degree of helicity, vorticity and eccentricity of flow profiles in the aorta. Model-based therapy planning was used in 4 cases to improve in silico postoperative flow profiles by personalized adjustment of size, rotation and angulation of the valve as well as aorta diameter. RESULTS: Patients with aortic valve disease showed more complex flow than controls [median ES 2.5 (interquartile range (IQR) 2.3-2.7) vs 1.0 (IQR 1.0-1.0), P < 0.001, median CFS 4.7 (IQR 4.3-4.8) vs 1.0 (IQR 1.0-2.0), P < 0.001]. After surgery, flow complexity in the total patient cohort was reduced, but remained significantly higher compared to controls [median ES 2.3 (IQR 1.9-2.3) vs 1.0 (IQR 1.0-1.0), P < 0.001, median CFS 3.8 (IQR 3.0-4.3) vs 1.0 (IQR 1.0-2.0), P < 0.001]. In patients after mechanical AVR, flow complexity fell substantially and showed no difference from controls [median ES 1.0 (IQR 1.0-2.3) vs 1.0 (IQR 1.0-1.0), P = 0.46, median CFS 1.0 (IQR 1.0-3.3) vs 1.0 (IQR 1.0-2.0), P = 0.71]. In all 4 selected cases (biological, n = 2; mechanical, n = 2), model-based therapy planning reduced in silico complexity of flow profiles compared to the existing post-surgical findings [median ES 1.7 (IQR 1.4-1.7) vs 2.3 (IQR 2.3-2.3); CFS 1.7 (IQR 1.4-2.5) vs 3.8 (IQR 3.3-4.3)]. CONCLUSIONS: Abnormal flow profiles in the aorta more frequently persist after surgical AVR. Model-based therapy planning might have the potential to optimize treatment for best possible individual outcome. CLINICAL TRIAL REGISTRATION NUMBER: clinicaltrials.gov NCT03172338, 1 June 2017, retrospectively registered; NCT02591940, 30 October 2015, retrospectively registered. European Association for Cardio-Thoracic Surgery. All rights reserved.",Nordmeyer S; Hellmeier F; Yevtushenko P; Kelm M; Lee CB; Lehmann D; Kropf S; Berger F; Falk V; Knosalla C; Kuehne T; Goubergrits L,Aortic valve replacement; Blood flow profiles; Model-based therapy planning,2020,European journal of cardio-thoracic surgery : official journal of the European,"Journal Article; Research Support, Non-U.S. Gov't",
2D,31446049,SIS/aligned fibre scaffold designed to meet layered oesophageal tissue complexity and properties.,"With donor organs not readily available, the need for a tissue-engineered oesophagus remains high, particularly for congenital childhood conditions such as atresia. Previous attempts have not been successful, and challenges remain. Small intestine submucosa (SIS) is an acellular matrix material with good biological properties; however, as is common with these types of materials, they demonstrate poor mechanical properties. In this work, electrospinning was performed to mechanically reinforce tubular SIS with polylactic-co-glycolic acid (PLGA) nanofibres. It was hypothesised that if attachment could be achieved between the two materials, then this would (i) improve the SIS mechanical properties, (ii) facilitate smooth muscle cell alignment to support directional growth of muscle cells and (iii) allow for the delivery of bioactive molecules (VEGF in this instance). Through a relatively simple multistage process, adhesion between the layers was achieved without chemically altering the SIS. It was also found that altering mandrel rotation speed affected the alignment of the PLGA nanofibres. SIS-PLGA scaffolds performed mechanically better than SIS alone; yield stress improvement was 200% and 400% along the longitudinal and circumferential directions, respectively. Smooth muscle cells cultured on the aligned fibres showed resultant unidirectional alignment. In vivo the SIS-PLGA scaffolds demonstrated limited foreign body reaction judged by the type and proportion of immune cells present and lack of fibrous encapsulation. The scaffolds remained intact at 4 weeks in vivo, and good cellular infiltration was observed. The incorporation of VEGF within SIS-PLGA scaffolds increased the blood vessel density of the surrounding tissues, highlighting the possible stimulation of endothelialisation by angiogenic factor delivery. Overall, the designed SIS-PLGA-VEGF hybrid scaffolds might be used as a potential matrix platform for oesophageal tissue engineering. In addition to this, achieving improved attachment between layers of acellular matrix materials and electrospun fibre layers offers the potential utility in other applications. STATEMENT OF SIGNIFICANCE: Because of its multi-layered nature and complex structure, the oesophagus tissue poses several challenges for successful clinical grafting. Therefore, it is promising to utilise tissue engineering strategies to mimic and form structural compartments for its recovery. In this context, we investigated the use of tubular small intestine submucosa (SIS) reinforced with polylactic-co-glycolic acid (PLGA) nanofibres by using electrospinning and also, amongst other parameters, the integrity of the bilayered structure created. This was carried out to facilitate smooth muscle cell alignment, support directional growth of muscle cells and allow the delivery of bioactive molecules (VEGF in this study). We evaluated this approach by using in vitro and in vivo models to determine the efficacy of this new system.",Syed O; Kim JH; Keskin-Erdogan Z; Day RM; El-Fiqi A; Kim HW; Knowles JC,Acellular organ matrix; Electrospinning; Oesophageal tissue; PLGA,2019,Acta biomaterialia,"Journal Article; Research Support, Non-U.S. Gov't",
2D,31126713,A case of obstructed hemivagina and ipsilateral renal anomaly syndrome complicated with pyometra: tips and tricks for laparoscopic hemihysterectomy.,"OBJECTIVE: To present a case of obstructed hemivagina and ipsilateral renal anomaly (OHVIRA) syndrome complicated with pyometra and explain tips and tricks for laparoscopic hemihysterectomy. DESIGN: A step-by-step explanation of the technique with the use of video (Canadian Task Force Classification III). Patient consent and Institutional Review Board approval were obtained. SETTING: OHVIRA syndrome is characterized by the triad of uterovaginal duplication, obstructed hemivagina, and ipsilateral renal agenesis (1). Patients with OHVIRA syndrome usually present with dysmenorrhea and a vaginal or a pelvic mass. Renal, uterine, and vaginal pathologies can be diagnosed with the use of ultrasonography and magnetic resonance imaging (MRI) (2). In cases in which the diagnosis is not delayed, treatment consists of vaginal septostomy (3). Delayed diagnosis may lead to pelvic infections in patients with microperforations in the septum, which may lead to abscess formation, pelvic inflammatory disease, pyometra, and subsequent need for hemihysterectomy and adnexectomy (4). PATIENT(S): A 21-year-old G2 P2 patient who had a history of hospitalization with the diagnosis of tubo-ovarian abscess three times previously presented to the emergency department with pelvic pain, nausea, high fever, and malodorous vaginal discharge. On physical examination, a pelvic abscess draining to the left vaginal wall and a 10-12-cm left adnexal mass were noticed. A diagnosis of OHVIRA syndrome and pyometra was made after evaluation of ultrasonographic and MRI findings. Longitudinal vaginal septum excision and drainage of the abscess was performed. Ten cubic centimeters of purulent abscess material was drained by incising the left vaginal wall. However, the mass extending from the left vaginal wall to the left adnexal area could not be drained. On hysteroscopy, no cervix was visualized belonging to the obstructed hemivagina and the left uterine cavity could not be entered. On reexamination of the MR images, the presence of a transverse vaginal septum overlying the left hemivagina was detected, preventing access to the left hemiuterine cavity. The transverse vaginal septum could have been excised and the pyometra drained; however, owing to the presence of chronic pelvic pain and dyspareunia, and a history of three failed previous attempts at treatment, the decision to perform hemihysterectomy was made. INTERVENTION(S): A laparoscopic hemihysterectomy was performed in the patient, who was diagnosed as having OHVIRA syndrome complicated with pyometra. Patient consent and Institutional Review Board approval were obtained for this report. MAIN OUTCOME MEASURE(S): On laparoscopy, the left hemiuterus on the same side as the obstructed hemivagina appeared three to four times larger than the normal hemiuterus, in which two pregnancies had occurred, and dense adhesions were present between this hemiuterus and the bowel. The left hemiuterus was densely adherent to the pelvic side wall. Laparoscopic hemihysterectomy was performed. A monofilament barbed suture were used for the repair of the paracervical area and left hemivagina. A transverse septum and cervical atresia was noticed at the distal end of the left hemiuterus. The surgical challenges encountered during treatment of this case were the difficulty in recognizing anatomic structures owing to chronic inflammatory changes, dissecting dense adhesions without injuring neighboring pelvic organs, providing adequate hemostasis during dissection of fragile and hemorrhagic tissues, gaining optimal visualization of the surgical field owing to hampered hemostasis, obtaining adequate exposure of the surgical site owing to the inability to use a uterine manipulator, and the difficulty in dissecting the left hemiuterus without damaging the right hemiuterus for fertility preservation. The ultrasonic scalpel is an energy modality that is known to cause the least amount of collateral thermal tissue damage. In the present case, an ultrasonic scalpel was used to dissect dense adhesions between the left hemiuterus and the urinary bladder to minimize the risk of thermal injury to the urinary bladder. The ultrasonic scalpel was also used when dissecting the unhealthy hemiuterus from the healthy hemiuterus owing to its ergonomic tip and to avoid thermal damage to the cervix of the healthy hemiuterus. In areas of dense adhesions and distorted anatomy, the broad tips of bipolar forceps are also helpful for blunt dissection and the creation of tissue planes, and it is also used for effective concomitant hemostasis. A vessel sealer is the most appropriate energy modality for providing effective hemostasis during dissection of the uterine artery while causing minimal collateral tissue damage (5, 6). When deciding the kind of energy modality to be used during operative laparoscopy, the source that minimized thermal injury while providing optimal hemostasis was preferred. Furthermore, additional features such as rotation, dissection, grasping, and the ergonomics of the tip of the device were also considered when choosing the energy source to be used. RESULT(S): The patient was discharged 48 hours postoperatively with no complications. No symptoms of pelvic pain, dysmenorrhea, and dyspareunia were present at the end of the third month after surgery. CONCLUSION(S): Understanding the exact nature of the uterine anomaly before hemihysterectomy is of paramount importance for a successful surgery. Laparoscopy is a safe and effective treatment modality even in the presence of dense pelvic adhesions and distorted pelvic anatomy. Elsevier Inc. All rights reserved.",Huseyin K; Lale TS; Burak Y; Tolga K; Pinar K; Kerem SD,OHVIRA syndrome; hemihysterectomy; pyometra; transverse septum,2019,Fertility and sterility,Case Reports; Journal Article; Video-Audio Media,
2D,29721674,Use of the wearable cardioverter-defibrillator (WCD) and WCD-based remote rhythm monitoring in a real-life patient cohort.,"The wearable cardioverter-defibrillator (WCD) was introduced to provide protection from sudden cardiac death (SCD) in patients with transiently elevated risk or during ongoing risk stratification. Benefits and clinical characteristics of routine WCD use remain to be assessed in larger patient populations. This study aims to identify determinants of WCD compliance, therapies, and inappropriate alarms in a real-life cohort. A total of 106 cases (68.9% male) were included between 11/2010 and 04/2016. WCD therapies, automatically recorded arrhythmia episodes, inappropriate WCD alarms, patient compliance, and outcome after WCD prescription were analyzed. Median duration of WCD use was 58.5 days. Average daily wearing time was 22.7 h. Compliance was reduced in patients ≤ 50 years. Three patients received WCD therapies (2.8%). In one case ventricular fibrillation (VF) was appropriately terminated with the first shock. Two patients received inappropriate WCD therapies due to WCD algorithm activation during ventricular pacemaker stimulation. One patient died of asystole while carrying a WCD (0.9%). Additional arrhythmias detected comprised self-terminating sustained ventricular tachycardia (VT; 2.8%), non-sustained VT (2.8%), and supraventricular arrhythmias (5.7%). Inappropriate WCD alarms due to over-/undersensing occurred in 77/106 patients (72.6%), of which 41 (38.7%) experienced ≥ 10 inappropriate WCD alarms during the prescription period. Thirteen patients (12.3%) displayed a mean of > 1 inappropriate alarms/day. WCD use was associated with high compliance and provided protection from VT/VF-related SCD. The majority of patients experienced inappropriate WCD alarms. Alterations in QRS morphology during pacemaker stimulation require consideration in WCD programming to prevent inappropriate alarms.",Zylla MM; Hillmann HAK; Proctor T; Kieser M; Scholz E; Zitron E; Katus HA; Thomas D,Rhythm monitoring; Risk stratification; Sudden cardiac death; Wearable cardioverter-defibrillator,2018,Heart and vessels,Journal Article,"Rotation Grant/German Center for Cardiovascular Research/; Cardiology Career Program/Department of Cardiology, University Hospital; Klaus-Georg/German Cardiac Society/; Sigrid Hengstberger Scholarship/German Cardiac Society/; F/08/14/German Heart Foundation/German Foundation of Heart Research/; 2014_A242/Else Kröner-Fresenius-Stiftung/; (Sonderlinie Medizin/Ministry of Science, Research and the Arts"
2D,38488694,In Vivo Intelligent Fluorescence Endo-Microscopy by Varifocal Meta-Device and Deep Learning.,"Endo-microscopy is crucial for real-time 3D visualization of internal tissues and subcellular structures. Conventional methods rely on axial movement of optical components for precise focus adjustment, limiting miniaturization and complicating procedures. Meta-device, composed of artificial nanostructures, is an emerging optical flat device that can freely manipulate the phase and amplitude of light. Here, an intelligent fluorescence endo-microscope is developed based on varifocal meta-lens and deep learning (DL). The breakthrough enables in vivo 3D imaging of mouse brains, where varifocal meta-lens focal length adjusts through relative rotation angle. The system offers key advantages such as invariant magnification, a large field-of-view, and optical sectioning at a maximum focal length tuning range of ≈2 mm with 3 µm lateral resolution. Using a DL network, image acquisition time and system complexity are significantly reduced, and in vivo high-resolution brain images of detailed vessels and surrounding perivascular space are clearly observed within 0.1 s (≈50 times faster). The approach will benefit various surgical procedures, such as gastrointestinal biopsies, neural imaging, brain surgery, etc.",Chia YH; Liao WH; Vyas S; Chu CH; Yamaguchi T; Liu X; Tanaka T; Huang YY; Chen MK; Chen WS; Tsai DP; Luo Y,HiLo fluorescence imaging; deep learning; endoscopy; metalens; optical sectioning; telecentric configuration; three‐dimensional imaging,2024,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Journal Article,"NSTC 112-2221-E-002-055-MY3/National Science and Technology Council, Taiwan/; NSTC 112-2221-E-002-212-MY3/National Science and Technology Council, Taiwan/; MOST-108-2221-E-002-168-MY4/National Science and Technology Council, Taiwan/; NTU-CC-113L891102/National Taiwan University/; NTU-113L8507/National Taiwan University/; NTU-CC-112L892902/National Taiwan University/; NTU-107L7728/National Taiwan University/; NTU-107L7807/National Taiwan University/; NTU-YIH-08HZT49001/National Taiwan University/; AoE/P-502/20/University Grants Committee / Research Grants Council of the Hong; C1015-21E/University Grants Committee / Research Grants Council of the Hong Kong; C5031-22G/University Grants Committee / Research Grants Council of the Hong Kong; CityU15303521/University Grants Committee / Research Grants Council of the Hong; CityU11310522/University Grants Committee / Research Grants Council of the Hong; CityU11305223/University Grants Committee / Research Grants Council of the Hong; CityU11300123/University Grants Committee / Research Grants Council of the Hong; 2020B1515120073/Department of Science and Technology of Guangdong Province/; 9380131/City University of Hong Kong/; 9610628/City University of Hong Kong/; 7005867/City University of Hong Kong/; JPMJCR1904/JST CREST/; NHRI-EX113-11327EI/National Health Research Institutes/"
RPM,30627934,Characterization of the Solid Physical State of API and Its Distribution in Pharmaceutical Hot Melt Extrudates Using Terahertz Raman Imaging.,"In this study, a method employing THz Raman imaging to characterize the solid state of acetaminophen within a solid dispersion prepared by hot melt extrusion was reported. The peak at 89 cm(-1) originating from the crystalline lattice vibrations provides unambiguous discrimination between crystalline and amorphous N-acetyl-para-aminophenol (APAP; acetaminophen) contents in the hot melt extrusion (HME) extrudates. Extrudates from four different HME processes (two different temperatures and two levels of screw speeds) were analyzed and compared. The results show that both high process temperature and high screw speed favor the formation of amorphous APAP solid dispersions. Finally, the high spatial resolution (~ 1 μm) Raman images of the extrudates prepared at 170°C and 200 rpm show a near-complete amorphous APAP dispersion in an HPMC matrix, confirming an efficient HME process. The study demonstrates that THz Raman imaging is ideally suited for the identification of different solid physical states of the APIs in a polymer matrix, and provides direct visualization of their distribution in HME extrudates.",Ibrahim M; Zhang J; Repka M; Chen R,acetaminophen; amorphous solid dispersion; hot melt extrusion; solid physical state; spatial resolution; terahertz raman imaging,2019,AAPS PharmSciTech,Journal Article,
RPM,30599283,Biomimetic dynamic membrane for aquatic dye removal.,"This study utilized physical adsorption and filtration of carbon nanotubes (CNTs) and laccases to fabricate biomimetic dynamic membrane (BDM) for the advanced treatment of dye wastewater. In BDM, the adsorption, enzymatic degradation and membrane separation demonstrated a synergism effect on pollutant removal. At first, the fabrication methods of BDM were investigated, and the mixed filtration for laccases and CNTs showed a better performance than the stepwise filtration. Furthermore, the operation parameters of BDM, including CNTs and laccase loading amounts, dye concentration, agitation speed and transmembrane pressure (TMP), were studied. Suitable CNTs and laccase amounts could reduce filtration resistance and increase catalysis efficiency, while moderate TMP and agitation speed were in favor of boosting the BDM structure for catalysis and permeability. Optimized operation parameters (CNT loading amount = 20 g m(-2), laccase loading amount = 74.6 g m(-2), agitation speed = 100 rpm, and TMP = 1.0 bar) sustained a high removal rate, and the flux was over 120 L m(-2) h(-1), even for 7 operation cycle' tests. BDM exhibited an excellent dye removal rate, stable flux and great antifouling capacity, on the ground that adsorption saturation and foulant may be alleviated ""online and in-situ"" by the enzymatic degradation. Afterwards, the bionic layer on BDM, after absorption saturation and catalyst deactivation, could be eliminated rapidly by carrying out a simple backwash cleaning operation, then a new one could be fabricated immediately. Therefore, BDM is a good candidate for functional membrane materials in future water treatment.",Chen W; Mo J; Du X; Zhang Z; Zhang W,Adsorption; Adsorptive dynamic membrane (ADM); Biomimetic dynamic membrane (BDM); Dye removal; Enzymatic degradation,2019,Water research,"Journal Article; Research Support, Non-U.S. Gov't",
RPM,30480392,[The study of psycho-social well being in the educational contexts toward the Va.RP tool: a study case.].,"OBJECTIVES: The organizational well-being construct has become a theme with broad scientific and law debate, pertaining prevention and protection measures concerning work-related stress, both for assessment and intervention on psychosocial risks. This paper focuses on a case study identified in a specific organizational context of a upper middle school. METHODS: Starting from a research-intervention perspective, this paper was primarily based on the use of the ""Psychosocial Risk Assessment"" (Va.RP) Italian tool, in shape for medium organizations, Va.RP-M, in a further form specially remodeled for organizational school contexts. Some of the dimensions measured by the instrument are: the role, transparency of information, support, the relationship between work vs. private life, the perception of organizational and managerial aspects. In addition to this instrument, it was made a board regarding the ""practical solutions"" deemed most relevant according to the critical organizational received by workers, closing with a request for comments and suggestions on initiatives in order to prevent work-related stress. RESULTS: The results show an emerging dissatisfaction primarily related to the dimensions of perceived lack of organizational justice, role, career advancement, leadership and work flexibility. As for ""practical solutions"" suggested, respondents identify priorities for high salient specific actions. CONCLUSIONS: Overall, it is confirmed as the face and prevent work-related stress is a process that must involve all stakeholders comprised into the organization, with a particular concern in promoting a strength of organizational management, to improve the well-being in partcular in classroom settings. Teachers emerge as a figure of multiparty function experienced in the psychosocial dynamics considered.",Aiello A; Nardella C,Va.RP Tool; organizational well-being; psychosocial interventions in organizations; school contexts studies,2018,Giornale italiano di medicina del lavoro ed ergonomia,Journal Article,
RPM,30369114,Production of Indole-3-Acetic Acid by Enterobacter sp. DMKU-RP206 Using Sweet Whey as a Low-Cost Feed Stock.,"In this study, we investigated Indole-3-acetic acid (IAA) production by a rice phylloplane bacteria, Enterobacter sp. DMKU-RP206, using sweet whey as a feed stock instead of lactose. We succeeded in using sweet whey for Enterobacter sp. DMKU-RP206 to produce 3,963.0 mg IAA/l with the optimal medium containing 1.48% sweet whey, 1.42% yeast extract and 0.88% (L)-tryptophan. The medium pH was adjusted to 6 and the culture conditions were shaking at 200 rpm on an orbital shaker at 30°C for 3 days. We also evaluated the effect of IAA in culture filtrates of Enterobacter sp. DMKU-RP206 on the promotion of jasmine rice growth in a pot experiment. Compared with the negative control (without IAA), the result showed that biosynthetic IAA produced by Enterobacter sp. DMKU-RP206 significantly increased the growth of jasmine rice (Oryza sativa L. cv. KDML105) in terms of length and dry weight of shoot. This work thus reveals the impact of IAA produced by Enterobacter sp. on the promotion of jasmine rice growth.",Srisuk N; Sakpuntoon V; Nutaratat P,Enterobacter; Indole-3-acetic acid; jasmine rice; plant growth promotion; sweet whey,2018,Journal of microbiology and biotechnology,Journal Article,
RPM,30195129,Selective ionic liquid solvent bar micro-extraction for estimation of ultra-trace silver fractions in marine waters.,"Ag can be found in the ocean at the ultra-trace level, mainly as AgCl(n)((n-1)-) and complexed by dissolved organic matter (Ag-DOM). However, methods for studying Ag speciation in marine waters are limited by the lack of extractants capable to separate organic and inorganic silver species in natural conditions of seawater samples. In this work, a two-phase solvent bar micro-extraction method using the ionic liquid trihexyltetradecylphosphonium chloride (Cyphos® 101) was applied for selective micro-extraction of AgCl(n)((n-1)-) from organic silver in marine waters, working at seawater pH,. The application to real samples was performed under the following conditions: 2.5% Cyphos® 101 in kerosene solution with 10% dodecan-1-ol inside the fiber, and 30 min of sample extraction at a stirring rate of 800 rpm. The proposed SBME was successfully used for estimation of Ag fractions in waters from the Bay of Cádiz (South-west Spain) showing its applicability for a simple, fast and environmentally friendly speciation of silver in marine water samples. The method presented a linear response up to 500 ng L(-1) and a detection limit of 0.4 ng L(-1), using GF-AAS for instrumental determination.",Herce-Sesa B; López-López JA; Moreno C,Ionic liquid solvent bar micro-extraction; Seawater; Silver; Speciation,2019,The Science of the total environment,Journal Article,
RPM,30156190,Comparison of the mechanical properties of platelet-rich fibrin and ankaferd blood stopper-loaded platelet-rich fibrin.,"BACKGROUND AND AIM: Platelet-rich fibrin (PRF) can be named as a natural fibrin-based biomaterial favorable to increasing vascularization and able to guide epithelial cell migration to its surface. The membrane has a significant positive effect on protecting open wounds and accelerating healing. Similar to PRF Ankaferd Blood Stopper (ABS) also has positive effects on wound healing. The aim of this study was to detect if we can improve known physical properties of PRF combining with ABS. This idea was based on the known mechanism of ABS in forming protein network without damaging any blood cells. Materials and Methods: A total of 25 adult rabbits used for collecting 5-7 ml of blood passively with the help of winged blood collection needle to the test tube. Collected samples were centrifuged at 3000 rpm for 10 min. Two similar samples obtained from each animal and one of the samples was placed in 20% ABS 80% saline solution for 5 min. Mechanical properties of the membrane samples were measured using Universal Testing Machine. Results: There is the statistically significant difference between PRF and ABS added PRF in elongation/mm (dL) and elongation/% at break values. Maximum force (fMax) and modulus values did not show any statistically significant differences. CONCLUSION: ABS loaded PRF causes better physical properties. This combination seems to exhibit superior performance when used as a membrane barrier solely. Advanced studies can be done on biological properties of ABS loaded PRF, especially on tissue healing.",Aktas A; Ozer T; Sen M; Turk M; Karabulut E,Ankaferd bloodstopper; mechanical properties; platelet-rich fibrin; wound healing,2018,Nigerian journal of clinical practice,Journal Article,
RPM,30109111,Zinc recovery from metallurgical slag and dust by coordination leaching in NH(3)-CH(3)COONH(4)-H(2)O system.,"Metallurgical slag and dust (MSD) from lead and zinc smelting, steel dust and galvanized steel scrap are important secondary sources of zinc and other valuable metals. This paper describes the production feasibility and rationality of a cleaner zinc recovery process using MSD and a hydrometallurgical method. It was found that the addition of CH(3)COONH(4) to a NH(3)-H(2)O system promotes zinc extraction, and 83.76% of zinc could be dissolved and recovered from the MSD under the following conditions: total ammonia concentration of 5 mol l(-1), stirring speed of 300 r.p.m., ammonia/ammonium ratio of 1 : 1, solid/liquid ratio of 1 : 5, leaching temperature of 25°C and a leaching time of 60 min. A leaching kinetic study indicates that the leaching process is controlled by the diffusion and interface transfer and that the reaction apparent activation energy is 22.66 kJ mol(-1). Fourier transform infrared spectroscopy and electrospray ionization mass spectrometry analysis showed that zinc can combine with the carboxylate anion to form Zn complexes such as [Zn(2)(Ac)(3)(NH(3))(2)](+). Zn(2)SiO(4), ZnS and ZnFe(2)O(4) in NH(3)-CH(3)COONH(4)-H(2)O system did not disappear according to X-ray diffraction analysis for leaching residue.",Ma A; Zheng X; Li S; Wang Y; Zhu S,ammonium acetate; coordination leaching; metallurgical slag and dust; zinc extraction,2018,Royal Society open science,Journal Article,
RPM,29987302,Real-time measurement of the crystal violet adsorption behavior and interaction process at the silica-aqueous interface by near-field evanescent wave.,"The interfacial adsorption and interaction of crystal violet (CV) at the silica-water interface was real-time measured based on a total-internal-reflection-induced near-field evanescent wave (TIR-NFEW). A silica optical fiber (SOF) was employed as a charged substrate for CV adsorption and as a light transmission waveguide for evanescent wave production for the investigation system. According to the change of evanescent wave intensity, the CV adsorption behavior could be real-time monitored at the silica-aqueous interface. The Langmuir adsorption model and two kinetic models were applied to obtain the related thermodynamic and kinetic data, including the adsorption equilibrium constant (Kads) of (5.9 ± 1.5) × 104 M-1 and adsorption free energy (ΔG) of -21.6 ± 0.6 kJ mol-1. Meanwhile, this method was shown to be able to isolate the elementary processes of adsorption and desorption under steady-state conditions, and gave an adsorption rate constant (ka) and desorption rate constant (kd) of 2089 ± 6.96 M min-1 and 0.35 ± 0.0012 min-1 for a 15 rpm flow rate. The surface interaction process was revealed and the adsorption mechanism proposed by a molecular orientation adsorption model with three-stage-concentration, indicating that CV first adsorbed on Si-O- sites through electrostatic attraction, then on Si-OH sites through hydrogen bonding, and lastly on the surface through van der Waals forces with different CV concentrations. This study can provide a molecular-level interpretation of CV adsorption and provides important insights into how CV adsorption can be controlled at the silica-water interface.",Xiong Y; Chen J; Duan M; Fang S,,2018,Physical chemistry chemical physics : PCCP,Journal Article,
RPM,29799331,A study on Zn recovery from other metals in the spent mixed batteries through a sequence of hydrometallurgical processes.,"A study on selective separation of Zn from a leaching solution by disposal batteries including various type batteries was carried out to understand the recovery behaviour of Zn in leaching solution. Selective recovery of Zn in leaching solution including Mn, Cd, Cu ion was difficult due to its similar physicochemical behaviour. Experiment results by present leaching solution with 279 µm undersize indicated that the best condition for leaching is 1 M H(2)SO(4), 250 rpm, 5 vol.% H(2)O(2) and 353 K and the leaching efficient of Zn, Co and Mn is approximately 97%, respectively. The exclusive extraction behaviour of Zn by using D2EHPA is indicated that the best conditions for solvent extraction are to be 0.6 M D2EHPA diluted with kerosene, 30% saponification, 298 K, 5-min contact time and three-stage countercurrent extraction, and the O/A ratio 1, respectively. Recovery of Zn was with approximately 99.7% selectively from Mn, Co, Ni, Cd and Li. After scrubbing 5 times by pH 2 modified solution and single stripping experiment by 1.5 M H(2)SO(4), the solution including Zn of 9.0 g/L can be produced.",Shin DJ; Joo SH; Oh CH; Wang JP; Park JT; Min DJ; Shin SM,Hydrometallurgy; Zn recovery; recycling; solvent extraction; spent mixed batteries,2019,Environmental technology,Journal Article,
RPM,29755582,RSM based optimization of nutritional conditions for cellulase mediated Saccharification by Bacillus cereus.,"BACKGROUND: Cellulases are enzyme which have potential applications in various industries. Researchers are looking for potential cellulolytic bacterial strains for industrial exploitation. In this investigation, cellulase production of Bacillus cereus was explored while attacking poplar twigs. The bacterium was isolated from the gut of freshwater fish, Labeo rohita and identified by 16S rRNA gene sequencing technology. Various nutritional conditions were screened and optimized through response surface methodology. Initially, Plackett-Burman design was used for screening purpose and optimization was conducted through Box-Bhenken design. RESULTS: The maximum cellulase production occurred at 0.5% yeast extract, 0.09% MgSO(4), 0.04% peptone, 2% poplar waste biomass, initial medium pH of 9.0, and inoculum size of 2% v/v at 37 °C with agitation speed of 120 rpm for 24 h of submerged fermentation. The proposed model for optimization of cellulase production was found highly significant. The indigenously produced cellulase enzyme was employed for saccharification purpose at 50 °C for various time periods. Maximum total sugars of 31.42 mg/ml were released after 6 h of incubation at 50 °C.The efficiency of this enzyme was compared with commercial cellulase enzyme revealing significant findings. CONCLUSION: These results suggested potential utilization of this strain in biofuel industry.",Tabssum F; Irfan M; Shakir HA; Qazi JI,Bacillus sp. 16S rRNA; Cellulase; Labeo rohita; RSM,2018,Journal of biological engineering,Journal Article,
RPM,29507824,Similar acute physiological responses from effort and duration matched leg press and recumbent cycling tasks.,"The present study examined the effects of exercise utilising traditional resistance training (leg press) or 'cardio' exercise (recumbent cycle ergometry) modalities upon acute physiological responses. Nine healthy males underwent a within session randomised crossover design where they completed both the leg press and recumbent cycle ergometer conditions. Conditions were approximately matched for effort and duration (leg press: 4 × 12RM using a 2 s concentric and 3 s eccentric repetition duration controlled with a metronome, thus each set lasted  60 s; recumbent cycle ergometer: 4 × 60 s bouts using a resistance level permitting 80-100 rpm but culminating with being unable to sustain the minimum cadence for the final 5-10 s). Measurements included VO(2), respiratory exchange ratio (RER), blood lactate, energy expenditure, muscle swelling, and electromyography. Perceived effort was similar between conditions and thus both were well matched with respect to effort. There were no significant effects by 'condition' in any of the physiological responses examined (all p > 0.05). The present study shows that, when both effort and duration are matched, resistance training (leg press) and 'cardio' exercise (recumbent cycle ergometry) may produce largely similar responses in VO(2), RER, blood lactate, energy expenditure, muscle swelling, and electromyography. It therefore seems reasonable to suggest that both may offer a similar stimulus to produce chronic physiological adaptations in outcomes such as cardiorespiratory fitness, strength, and hypertrophy. Future work should look to both replicate the study conducted here with respect to the same, and additional physiological measures, and rigorously test the comparative efficacy of effort and duration matched exercise of differing modalities with respect to chronic improvements in physiological fitness.",Steele J; Butler A; Comerford Z; Dyer J; Lloyd N; Ward J; Fisher J; Gentil P; Scott C; Ozaki H,Electromyography; Energy expenditure; Exercise modality; Lactate; Muscle swelling,2018,PeerJ,Journal Article,
